utc_datetime,impact,currency,event,actual,forecast,previous
2017-11-16T13:40:00Z,Medium Impact Expected,CAD,ADP Non-Farm Employment Change,-5.7K,,
2017-11-16T14:00:00Z,Medium Impact Expected,GBP,BOE Gov Carney Speaks,,,
2017-11-16T14:15:00Z,Medium Impact Expected,USD,Capacity Utilization Rate,77.0%,76.3%,76.4%
2017-11-16T13:00:00Z,Medium Impact Expected,USD,Industrial Production m/m,0.9%,0.5%,0.4%
2017-11-16T15:00:00Z,Low Impact Expected,USD,NAHB Housing Market Index,70,67,68
2017-11-16T15:30:00Z,Low Impact Expected,CAD,BOC Review,,,
2017-11-16T13:00:00Z,Low Impact Expected,USD,Natural Gas Storage,-18B,-15B,15B
2017-11-16T17:00:00Z,Medium Impact Expected,CHF,Gov Board Member Maechler Speaks,,,
2017-11-16T18:20:00Z,Medium Impact Expected,USD,FOMC Member Kaplan Speaks,,,
2017-11-16T20:45:00Z,Medium Impact Expected,USD,FOMC Member Brainard Speaks,,,
2017-11-16T21:30:00Z,Medium Impact Expected,NZD,BusinessNZ Manufacturing Index,57.2,,57.6
2017-11-16T21:45:00Z,Medium Impact Expected,NZD,PPI Input q/q,1.0%,1.2%,1.4%
2017-11-16T13:00:00Z,Low Impact Expected,NZD,PPI Output q/q,1.0%,1.4%,1.3%
2017-11-17T00:30:00Z,Low Impact Expected,AUD,New Motor Vehicle Sales m/m,0.0%,,-0.4%
2017-11-17T08:30:00Z,High Impact Expected,EUR,ECB President Draghi Speaks,,,
2017-11-17T09:00:00Z,Low Impact Expected,EUR,Current Account,37.8B,30.2B,34.5B
2017-11-17T13:00:00Z,,,,,,
2017-11-17T13:00:00Z,Medium Impact Expected,EUR,German Buba President Weidmann Speaks,,,
2017-11-17T13:30:00Z,High Impact Expected,CAD,CPI m/m,0.1%,0.1%,0.2%
2017-11-17T13:00:00Z,Medium Impact Expected,CAD,Common CPI y/y,1.6%,,1.5%
2017-11-17T13:00:00Z,Medium Impact Expected,CAD,Median CPI y/y,1.7%,,1.8%
